Company,Company Score,Job Title,Location,Date,Salary
topaz labs,3.4,software engineer - ml performance / hpc,"dallas, tx",30d+,$90k - $119k (glassdoor est.)
rover.com,3.2,"senior software engineer, orders team","seattle, wa",25d,$101k - $135k (glassdoor est.)
university of oregon,3.8,research software engineer,"eugene, or",2d,$155k - $180k (employer est.)
dōterra international,4.0,software engineer ii,utah,12d,$85k - $114k (glassdoor est.)
ahu technologies,4.6,software engineer,"newark, de",12d,$130k - $160k (employer est.)
alstom,3.4,software engineer,"pittsburgh, pa",2d,$160k - $250k (employer est.)
jack henry & associates,2.9,software release engineer,united states,8d,$100k (employer est.)
ispa technology,3.0,junior software systems engineer,"washington, dc",23d,$120k - $150k (employer est.)
"universal health services, inc. - corporate office",3.4,associate software engineer - data analytics,"king of prussia, pa",30d+,$96k - $146k (glassdoor est.)
relias,3.8,associate software engineer,"morrisville, nc",4d,$107k - $144k (glassdoor est.)
tickrs clearing,3.1,software engineer,"irvine, ca",2d,$138k - $189k (glassdoor est.)
ctc group,4.8,software engineer,"fort meade, md",30d+,$78k - $118k (glassdoor est.)
gotab inc,3.5,jr. deployment engineer,"arlington, va",10d,$113k - $139k (glassdoor est.)
ilogic inc,3.5,software developers,township of hamilton,30d+,$80.00 per hour (employer est.)
csx,3.8,software engineer ii - service now,"jacksonville, fl",23d,$70k - $109k (glassdoor est.)
synergy ecp,4.4,junior software engineer,"fort meade, md",2d,$73k - $117k (glassdoor est.)
m&t bank,5.0,software engineer iii,"wilmington, de",30d+,$62k - $107k (glassdoor est.)
cardlytics,5.0,software engineer iii,"menlo park, ca",18d,$124k - $169k (glassdoor est.)
"stefanini, inc",3.8,aws cloud engineer,"richmond, va",1d,$96k - $117k (employer est.)
innovative systems,3.8,c software engineer,"pittsburgh, pa",9d,$84k - $140k (glassdoor est.)
parabola,3.8,"software engineer, full stack",united states,8d,$66k - $94k (glassdoor est.)
vibrint,3.5,software engineer i (python developer),united states,11d,$70k - $120k (employer est.)
millennium management,4.2,front end engineer,united states,4d,$78k - $126k (employer est.)
sagitec,3.9,software engineer,"saint paul, mn",2d,$165k - $209k (employer est.)
innovien solutions,3.3,sr. software engineer,"atlanta, ga",6d,$116k - $150k (employer est.)
