Company,Company Score,Job Title,Location,Date,Salary
jpmorgan chase & co,4.8,software engineer (id),united states,4d,$142k - $183k (employer est.)
wr systems,4.2,software engineer,"jersey city, nj",2d,$77k - $125k (glassdoor est.)
acuity brands,3.5,software engineer,"dahlgren, va",3d,$162k - $244k (employer est.)
cisco systems,4.1,software engineer,"conyers, ga",3d,$85k - $104k (glassdoor est.)
walgreens,3.3,software qa engineer,"san jose, ca",12d,$140k - $145k (employer est.)
"vivint, inc.",3.8,senior software engineer,"deerfield, il",2d,$95k - $130k (glassdoor est.)
caelum research corporation,4.1,sr. software engineer,"lehi, ut",4d,$90k - $150k (employer est.)
oracle,4.5,software engineer,"carlisle, pa",22d,$140k - $150k (employer est.)
fidelity investments,3.8,software developer,"redwood city, ca",24h,$183k - $297k (employer est.)
colorado state university,4.5,cloud engineer,"westlake, tx",9d,$120k - $140k (employer est.)
bayer,2.3,application programmer analyst/developer i,"fort collins, co",5d,$97k - $129k (glassdoor est.)
usaa,3.9,software engineer ii,"indianola, pa",12d,$50k - $90k (employer est.)
accenture federal services,3.1,senior react/javascript software engineer,"san antonio, tx",1d,$74k - $122k (employer est.)
gundersen health system,5.0,software engineer,"lorton, va",13d,$85k - $150k (employer est.)
"jrc integrated systems, llc",3.9,software engineer | front end developer,"onalaska, wi",30d+,$82k - $114k (glassdoor est.)
xl softek,3.9,software engineer,"washington, dc",11d,$107k - $150k (employer est.)
kasmo cloud solutions,4.0,software engineers,"suwanee, ga",30d+,$215k - $220k (employer est.)
"icr, inc.",4.2,software engineer,"carol stream, il",5d,$90k - $180k (employer est.)
workday,4.0,"software engineer - front end (dashboard) - aurora, co","aurora, co",30d+,$130k - $160k (employer est.)
360care,3.0,"sr associate software engineer, database as a service","atlanta, ga",5d,$75k - $126k (glassdoor est.)
amex,3.5,software engineer,"louisville, ky",30d+,$79k - $119k (glassdoor est.)
dkw communications,3.5,senior engineer - java - go2 unify,"sunrise, fl",30d+,$125k - $150k (employer est.)
"sick, inc.",4.1,senior software engineer,"point mugu nawc, ca",4d,$77k - $102k (glassdoor est.)
antithesis,3.2,software engineer ii,"minneapolis, mn",3d,$102k - $138k (glassdoor est.)
rekuten global,3.9,junior ruby on rails engineer,remote,3d,$115k - $155k (glassdoor est.)
tencent,4.0,senior software engineer,"vienna, va",2d,$84k - $132k (glassdoor est.)
realmone,4.1,software engineer,"beloit, wi",30d+,$80.00 per hour (employer est.)
zoox,4.1,security software engineer i,"palo alto, ca",6d,$80k - $108k (glassdoor est.)
cybercore technologies,4.3,software engineer 1,maryland,30d+,$148k - $230k (employer est.)
synergy ecp,4.1,"software engineer, workflow orchestration","foster city, ca",30d+,$81k - $101k (glassdoor est.)
innovative defense technologies (idt),3.9,software engineer 3,"annapolis junction, md",19d,$65k - $112k (glassdoor est.)
veterans engineering incorporated,4.1,backend python software engineer,"annapolis junction, md",30d+,$88k - $117k (glassdoor est.)
solvere technical group,3.6,software engineer,"fall river, ma",30d+,$10k - $20k (employer est.)
"iralogix,inc",3.9,cloud engineer,united states,10d,$111k - $153k (glassdoor est.)
nava,3.8,software engineer,"indian head, md",2d,$91k - $126k (glassdoor est.)
f5,3.6,senior software engineer,"pittsburgh, pa",4d,$125k - $140k (employer est.)
bae systems,4.5,sr. software engineer,remote,2d,$66k - $116k (glassdoor est.)
synergy ecp,3.4,software engineer iii,"san jose, ca",19d,$108k - $146k (glassdoor est.)
ge healthcare,4.0,"engineer, junior software","lexington park, md",30d+,$90k - $130k (employer est.)
tc energy,2.4,software engineer,"annapolis junction, md",30d+,$80k - $90k (employer est.)
principal financial group,4.3,"senior software engineer (hybrid, onsite)","milwaukee, wi",3d,$86k - $119k (glassdoor est.)
schlumberger,3.4,new engineer-in-training (net) rotational program,"houston, tx",6d,$120k - $250k (employer est.)
jbt corporation,4.6,back end software engineer,"houston, tx",9d,$55k - $90k (employer est.)
flash technology group,4.2,software engineer,"san mateo, ca",30d+,$84k - $157k (employer est.)
innovative defense technologies (idt),3.7,devops engineer,"chalfont, pa",30d+,$96k - $128k (glassdoor est.)
fairfax county public schools,4.2,software engineer i,"laurel, md",30d+,$106k - $125k (employer est.)
scholarly,4.5,software engineer,united states,5d,$81k - $123k (glassdoor est.)
innovative defense technologies (idt),3.0,software engineer (one year only),"wilton woods, va",30d+,$92k - $131k (glassdoor est.)
burst inc.,2.0,software engineer,"seattle, wa",9d,$115k - $166k (glassdoor est.)
usn technical associates,3.9,devsecops software engineer,"fall river, ma",5d,$113k - $161k (glassdoor est.)
snc,2.8,video software engineer,"lexington, ma",11d,$160k - $385k (employer est.)
decision six,4.1,contract software engineer,"los angeles, ca",5d,$62k - $102k (glassdoor est.)
laiba technologies,4.4,software engineer ii,"southern pines, nc",1d,$73k - $110k (glassdoor est.)
teamups,4.4,devops engineer,"newtown square, pa",5d,$200k - $370k (employer est.)
delta dental ins.,4.0,do178c software engineer,"everett, wa",30d+,$93k - $147k (glassdoor est.)
valkyrie enterprises,4.1,senior software engineer,"seattle, wa",30d+,$69k - $107k (glassdoor est.)
uipath,3.7,expert software engineer,"alpharetta, ga",1d,$50k - $60k (employer est.)
atlas copco tools & assembly systems llc,3.7,software engineer (job id:3425),"huntsville, al",27d,$70k - $108k (glassdoor est.)
anb sourcing llc,3.8,senior software engineer,"bellevue, wa",9d,$102k - $134k (glassdoor est.)
mcintire solutions,4.5,software engineer,"auburn hills, mi",13d,$103k - $133k (glassdoor est.)
pennymac,4.6,azure devops engineer || full time job.,remote,2d,$50.00 per hour (employer est.)
literati,3.7,software systems engineer/devops engineer,"chantilly, va",18d,$84k - $110k (glassdoor est.)
"rochester software associates, inc.",4.1,clojure software engineer,"agoura hills, ca",4d,$66k - $94k (glassdoor est.)
plaid,3.7,wordpress full stack engineer (react),texas,1d,$102k - $149k (glassdoor est.)
tigergraph,3.9,c# software developer,united states,10d,$187k - $197k (employer est.)
"garmin international, inc.",3.7,experienced software engineer - scaled access,"new york, ny",30d+,$70k - $96k (glassdoor est.)
resilio inc.,4.4,software engineer,"redwood city, ca",5d,$100k - $110k (employer est.)
candid,3.7,software certification engineer 1 - software quality,"salem, or",25d,$83k - $116k (glassdoor est.)
amex,4.3,technical support engineer (endpoint software),virginia,9d,$100k - $250k (employer est.)
radiance technologies,4.4,ecosystems software engineer,united states,17d,$100k - $115k (employer est.)
fabletics,3.6,engineer,"phoenix, az",2d,$64k - $101k (glassdoor est.)
delta dental ins.,3.7,r&d software engineer,"stennis space center, ms",30d+,$66k - $68k (employer est.)
fractal analytics,4.1,sr. software engineer,california,24d,$79k - $117k (glassdoor est.)
microchip technology,2.4,expert software engineer,"oakland, ca",1d,$140k (employer est.)
york space systems,4.2,software development engineer,california,30d+,$118k - $169k (glassdoor est.)
software productivity strategists,3.3,sr. full stack software engineer,"greenwood village, co",3d,$130k - $270k (employer est.)
neuropace,4.2,software engineer,"lincoln, ne",30d+,$110k - $157k (employer est.)
oceanfrogs,2.5,software engineer,"rockville, md",30d+,$93k - $130k (glassdoor est.)
"iconectiv, llc.",3.5,full stack software engineer,"mountain view, ca",7d,$120k - $140k (employer est.)
the aerospace corporation,3.9,full stack software developer,"duluth, ga",30d+,$94k - $160k (employer est.)
fetch package,4.8,software engineer (oracle database expertise),"bridgewater, nj",4d,$101k - $144k (glassdoor est.)
zenith services,4.7,data engineer / software engineer,"chantilly, va",30d+,$108k - $156k (glassdoor est.)
matthews international corporation,3.9,lead front-end software engineer,"austin, tx",4d,$74k - $100k (glassdoor est.)
oracle,2.9,react native engineer,"bentonville, ar",30d+,$73k - $100k (glassdoor est.)
nvidia,4.0,software engineer,"apopka, fl",3d,$112k - $196k (employer est.)
pingwind,4.0,software developer,united states,1d,$98k - $137k (glassdoor est.)
versaterm,3.5,senior full-stack web applications software engineer,"santa clara, ca",1d,$80k - $94k (employer est.)
apollo technology solutions llc,4.3,software developer*,"scott air force base, il",9d,$89k - $130k (glassdoor est.)
navrit creation,3.6,software engineer,"lexington, sc",16d,$78k - $131k (glassdoor est.)
amazon.com services llc,5.0,sr. front end engineer (react),"charlotte, nc",2d,$65k - $107k (glassdoor est.)
schneider electric,3.6,freelance web developer,"colony, al",1d,$130k - $300k (employer est.)
akira technologies inc.,3.7,"software dev engineer, modeling software","boston, ma",10d,$66k - $98k (employer est.)
ctc group,4.2,systems application engineer ii - software,"secaucus, nj",1d,$153k - $225k (employer est.)
space coast intelligent solutions,3.9,servicenow software engineer,"washington, dc",9d,$69k - $103k (employer est.)
credo,3.9,python developer,"fort meade, md",6d,$83k - $114k (glassdoor est.)
9th networks inc,4.4,software engineer iv,"melbourne, fl",30d+,$107k - $174k (employer est.)
tuvoli,3.1,system software engineer,"san jose, ca",3d,$78k (employer est.)
walter p moore,4.1,go lang/platform engineer,"jersey city, nj",3d,$175k - $265k (employer est.)
linquest corporation,3.9,senior software engineer,massachusetts,16d,$53k - $107k (employer est.)
codesignal,3.8,front-end software developer,"washington, dc",17d,$60.00 - $80.00 per hour (employer est.)
hewlett packard,5.0,software engineer,"beavercreek, oh",30d+,$86k - $128k (glassdoor est.)
dupli envelope & graphics,4.8,"software engineer, innovation lab","san francisco, ca",18d,$165k - $215k (employer est.)
coinbase,4.2,software quality engineer,"fort collins, co",10d,$165k - $215k (employer est.)
lseg (london stock exchange group),4.0,software support engineer,"syracuse, ny",3d,$102k - $138k (glassdoor est.)
inabia software & consulting inc.,3.8,software engineer,remote,12d,$76k - $175k (employer est.)
pmall,4.5,full stack engineer,"washington, dc",30d+,$96k - $118k (employer est.)
alloy,4.0,software developer,"bellevue, wa",30d+,$86k - $129k (employer est.)
qinetiq us,3.9,front-end developer,"burr ridge, il",10d,$160k - $385k (employer est.)
caterpillar,4.0,solutions engineer,united states,3d,$184k - $337k (employer est.)
"jason pharmaceuticals, inc.",4.0,software engineer,"mclean, va",9d,$127k - $184k (employer est.)
intellibridge llc,3.6,software engineer,"peoria, il",2d,$79k - $130k (glassdoor est.)
snyk,3.4,sr software engineer,"lehi, ut",10d,$120k - $207k (employer est.)
openai,4.2,software engineer,"washington, dc",10d,$112k - $152k (employer est.)
vertex professional service llc,2.7,senior software engineer (typescript/go),"boston, ma",2d,$130k - $158k (glassdoor est.)
"decibel research, inc.",2.7,"software engineer, backend","san francisco, ca",5d,$103k - $172k (employer est.)
openai,4.4,"software engineer ii (insite) - ""w-trs""","orlando, fl",2d,$82k - $209k (employer est.)
comsol inc.,3.1,mid-level software engineer,"huntsville, al",25d,$116k - $174k (employer est.)
infosys,3.8,"full stack engineer, leverage engineering","san francisco, ca",6d,$130k - $165k (employer est.)
hero facility services,3.8,software developer – ray optics,"burlington, ma",4d,$150k - $185k (employer est.)
qed systems llc,3.9,junior python developer,"charlotte, nc",2d,$98k - $209k (employer est.)
kasasa,4.4,entry level developer,"melbourne, fl",3d,$102k - $204k (employer est.)
"delta air lines, inc.",3.7,software engineer,"aberdeen proving ground, md",30d+,$125k - $140k (employer est.)
han it,3.6,senior software engineer (hybrid),"austin, tx",11d,$108k - $216k (employer est.)
innovative solutions and support,3.9,software development engineer,"atlanta, ga",3d,$79k - $116k (glassdoor est.)
promega,4.8,python developer,"morris plains, nj",3d,$67k - $128k (employer est.)
revenue management solutions llc,3.7,software verification engineer,"exton, pa",12d,$129k - $162k (employer est.)
cityblock health,3.8,"software engineer, instrumentation","madison, wi",16d,$90k - $110k (employer est.)
astrion,3.7,devops engineer,"oklahoma city, ok",12d,$117k - $306k (employer est.)
diverse career solutions,3.4,staff software engineer,new york state,9d,$100k - $115k (employer est.)
synergy ecp,4.2,software developer,"eglin afb, fl",17d,$87k - $142k (glassdoor est.)
"icr, inc.",4.0,sr. software engineer,remote,3d,$92k - $132k (glassdoor est.)
broadridge,3.8,software engineer,"columbia, md",30d+,$105k - $160k (employer est.)
zurn elkay water solutions,5.0,"software systems engineer - mason, oh","mason, oh",30d+,$144k - $196k (glassdoor est.)
florida state college at jacksonville,4.2,deployment engineer (hybrid),"newark, nj",9d,$69k - $91k (glassdoor est.)
q9software,3.1,iot engineer,"milwaukee, wi",27d,$80k - $110k (employer est.)
jpmorgan chase & co,3.8,engineer iv software,"jacksonville, fl",27d,$100k - $153k (glassdoor est.)
the bank of new york mellon corporation,3.4,entry level to senior level software developers,"germantown, md",30d+,$170k - $200k (employer est.)
cisco systems,4.5,software engineer,"jersey city, nj",4d,$87k - $124k (glassdoor est.)
grand canyon education,4.0,2025 bny summer internship program - engineering (developer),"pittsburgh, pa",6d,$185k - $206k (employer est.)
captivation software,3.3,software engineer,"san jose, ca",30d+,$80k - $133k (employer est.)
docusign,4.6,jr. developer,"phoenix, az",3d,$90k - $127k (glassdoor est.)
"canon medical research usa, inc.",3.6,software engineer 0 - java/react/docker/aws,"annapolis junction, md",30d,$108k - $199k (employer est.)
standard bots,2.5,ai saas engineer,"san francisco, ca",1d,$62k - $102k (glassdoor est.)
american agcredit,4.1,software engineer,"boston, ma",1d,$85k - $104k (glassdoor est.)
kapsch,4.0,software quality engineer,"glen cove, ny",11d,$73k - $127k (employer est.)
prevail,3.9,devops engineer,remote,2d,$100k - $140k (glassdoor est.)
dcs corp,4.8,software engineer,"chantilly, va",30d+,$160k - $194k (employer est.)
consensus health,3.9,software engineer video,"san francisco, ca",5d,$107k - $145k (glassdoor est.)
rippling,4.2,software engineer,"dayton, oh",3d,$74k - $131k (glassdoor est.)
aci worldwide,4.0,associate software engineer,"lenexa, ks",5d,$240k (employer est.)
"engineering technology associates, inc.",5.0,full stack engineer ii (frontend) - benefits,"san francisco, ca",2d,$16.00 - $46.00 per hour (employer est.)
fusion innovation,5.0,software engineer - hybrid,"norcross, ga",3d,$70k - $120k (employer est.)
"clarity innovations, llc",4.1,software test engineer,"dearborn, mi",1d,$160k - $225k (employer est.)
ripplematch opportunities,3.9,software engineer,"herndon, va",30d+,$99k - $134k (glassdoor est.)
power3 solutions and partnering companies,3.5,jr. java software engineer (swe1) (pp) 228,"annapolis junction, md",30d+,$102k - $143k (glassdoor est.)
datadog,3.9,"imc - software engineer, application via ripplematch","chicago, il",4d,$150k - $240k (employer est.)
paccar,4.2,python engineer,"annapolis junction, md",10d,$160k - $170k (employer est.)
front,4.1,senior software engineer - frontend - sheets,united states,11d,$144k - $200k (employer est.)
northrop grumman,4.1,vehicle software and diagnostics tool test engineer,"mount vernon, wa",4d,$110k - $120k (employer est.)
pegasystems,4.1,"backend software engineer, deliverability","san francisco, ca",4d,$165k - $211k (employer est.)
lawrence berkeley national laboratory,3.6,2024 associate software engineer - linthicum md,"linthicum, md",1d,$92k - $116k (glassdoor est.)
cargill,3.5,"associate software engineer, services engineering","waltham, ma",3d,$65.00 per hour (employer est.)
zoox,3.9,optimization software engineer,"san francisco, ca",30d+,$66k - $132k (employer est.)
globalfoundries,3.7,"associate software engineer - technology development program, summer 2025 - atlanta, ga","atlanta, ga",1d,$140k - $175k (employer est.)
tru47,4.8,software engineer - perception ml ops,"boston, ma",30d+,$169k - $225k (employer est.)
schneider electric,4.1,"design enablement engineer, software engineering ai/machine learning (2024 new college graduate)","malta, ny",23d,$61k - $95k (employer est.)
gopuff,3.2,shopify webmaster,remote,3d,$90k - $125k (employer est.)
gopuff,3.6,software development test engineer - electrical iot devices,"foxborough, ma",1d,$162k - $284k (employer est.)
camelot integrated solutions inc.,3.9,senior software engineer - delivery tech,"miami, fl",17d,$91k - $137k (employer est.)
cvs health,5.0,senior software engineer - warehouse,"miami, fl",17d,$160k - $175k (employer est.)
boeing,4.6,senior software engineer i,"houston, tx",30d+,$177k - $323k (employer est.)
publix,3.4,software engineer - enterprise identity services,"hartford, ct",11d,$133k - $193k (employer est.)
experian,4.9,software engineer - junior level,"annapolis junction, md",11d,$81k - $99k (glassdoor est.)
openai,4.3,software engineer – customer payments support,"lakeland, fl",20d,$85k - $95k (employer est.)
bytedance,3.6,staff software engineer (remote),texas,3d,$180k - $339k (employer est.)
alterra mountain company,4.2,"software engineer, full stack","san francisco, ca",6d,$163k - $200k (employer est.)
experian,3.8,senior frontend software engineer - customer service plateform - seattle,"seattle, wa",30d+,$85k - $150k (employer est.)
"clarity innovations, llc",3.4,"software engineer, mobile (react native)","denver, co",13d,$80k - $110k (employer est.)
amazon advertising llc,3.4,senior software engineer (remote),california,3d,$93k - $128k (glassdoor est.)
boeing,4.1,junior software engineer (swe1) (qc) tto16-022,"annapolis junction, md",30d+,$112k - $154k (employer est.)
bose,4.1,"software quality assurance engineer (level 6), automotive",united states,11d,$155k - $221k (employer est.)
macy’s,4.1,front end/ui mid-level software engineer,"annapolis junction, md",16d,$102k - $132k (employer est.)
microsoft,5.0,dsp software engineer,"framingham, ma",30d+,$80k - $111k (glassdoor est.)
draftkings,4.1,lead software engineer - supply chain,"johns creek, ga",2d,$187k - $280k (employer est.)
ge appliances,4.0,software engineer,"redmond, wa",30d+,$105k - $155k (glassdoor est.)
quantum systems inc,4.1,"senior software engineer, ios",remote,18d,$92k - $120k (glassdoor est.)
"kaseware, inc.",4.1,software engineering co-op_summer 2025,"louisville, ky",30d+,$230k - $280k (employer est.)
microsoft,4.1,software engineer,"moorpark, ca",19d,$94k - $128k (glassdoor est.)
cvs health,4.2,software engineer,"denver, co",27d,$129k (employer est.)
jbt corporation,4.6,software engineer ii - automated reasoning and testing,"redmond, wa",5d,$80k - $180k (employer est.)
fanatics inc.,3.9,sr software development engineer,"buffalo grove, il",3d,$93k - $129k (glassdoor est.)
innovative defense technologies (idt),4.1,senior software engineer c++,"chalfont, pa",30d+,$105k - $190k (employer est.)
microchip technology,4.0,"software engineer ii, (java/aws)",united states,12d,$139k - $169k (employer est.)
"crunchyroll, llc",4.2,frontend software engineer,"mount laurel, nj",5d,$54k - $98k (employer est.)
accrete.ai,3.7,engineer i-software,"san jose, ca",23d,$55k - $186k (employer est.)
roku,3.8,"software engineer iii, android","culver city, ca",30d+,$101k - $139k (glassdoor est.)
early warning services,3.6,machine learning engineer (early career),"new york, ny",19d,$88k - $120k (glassdoor est.)
workday,5.0,"senior software engineer, service mesh","boston, ma",5d,$129k - $202k (employer est.)
grainger,4.1,"software engineer - java, zelle","scottsdale, az",1d,$70k - $115k (employer est.)
costco wholesale,4.7,front-end engineer - content platform,"boulder, co",30d+,$91k - $134k (glassdoor est.)
mochi health,3.5,software engineer iv (success factors - employee central payroll),"lake forest, il",1d,$92k - $124k (glassdoor est.)
jacobs,4.2,software engineer - digital data products,"seattle, wa",10d,$115k - $190k (employer est.)
boeing intelligence & analytics,4.2,"senior software engineer, frontend","san francisco, ca",7d,$94k - $139k (glassdoor est.)
netapp,4.0,software test engineer,"kennedy space center, fl",30d+,$140k - $216k (glassdoor est.)
alphataraxia,3.9,entry level software engineer,"annapolis junction, md",4d,$90k - $103k (employer est.)
daqscribe solutions,4.7,software engineer - c/c++,"san jose, ca",10d,$95k - $170k (employer est.)
boeing,4.0,senior software engineer,"washington, dc",30d+,$343k - $637k (employer est.)
honeywell,4.8,software engineer,united states,10d,$172k - $223k (employer est.)
state street,3.4,"software engineer ii - .net, c#, azure","phoenix, az",13d,$93k - $186k (employer est.)
"garmin international, inc.",3.9,senior software engineer - courier pricing,"new york, ny",1d,$83k - $110k (glassdoor est.)
adobe,4.5,"software quality assurance engineer, assistance vice president","quincy, ma",30d+,$120k (employer est.)
honeywell,5.0,embedded software engineer,"salem, or",11d,$88k - $140k (employer est.)
honeywell,4.3,software development engineer,"lehi, ut",20d,$95k - $136k (glassdoor est.)
johns hopkins university,4.8,software engineering/electrical engineering co-op - fall 2024 (us persons),"mason, oh",27d,$100k - $130k (employer est.)
university of vermont,4.1,software engineer ii,"mason, oh",5d,$159k - $175k (employer est.)
federal reserve bank of dallas,3.5,software engineer,"baltimore, md",30d+,$104k - $348k (employer est.)
"grammarly, inc.",4.0,research software engineer,"burlington, vt",4d,$98k - $209k (employer est.)
scd information technology,3.9,software engineer,"dallas, tx",23d,$78k - $104k (employer est.)
clarity innovations,4.0,"software engineer, data engineering",united states,4d,$100k (employer est.)
"akina, inc.",4.0,sr. software engineer,"columbia, md",1d,$64k - $128k (employer est.)
volvo group,3.9,software engineer - level 1 (rr) rrtn-8319,"annapolis junction, md",30d+,$117k - $216k (employer est.)
calspan corporation,3.7,software engineer - 3 (javascript/go/python),"annapolis junction, md",3d,$135k - $247k (employer est.)
zoox,4.2,co-op: software (spring 2025),"shippensburg, pa",11d,$83k - $136k (glassdoor est.)
"garmin international, inc.",3.8,"associate software engineer, edwards air force base","edwards afb, ca",26d,$85k - $130k (glassdoor est.)
root//source,3.5,software engineer - rider support tools,"foster city, ca",30d+,$99.00 per hour (employer est.)
"hireio, inc.",3.6,senior software engineer - aviation databases,"olathe, ks",30d,$73k - $88k (employer est.)
pac group llc,3.5,full stack java software engineer (hybrid),"annapolis junction, md",12d,$59k - $88k (employer est.)
fanatics inc.,3.0,software engineer,"san jose, ca",12d,$105k - $146k (glassdoor est.)
emergent software,4.1,software and systems engineer,"suffolk, va",30d+,$70k - $125k (employer est.)
harvard university,4.1,sr software engineer (back-end),"new york, ny",18d,$62k - $98k (glassdoor est.)
zoox,4.9,software engineer (python),united states,4d,$82k - $119k (glassdoor est.)
intone networks,3.8,"sr. software engineer, hbs online","boston, ma",30d+,$80k - $113k (glassdoor est.)
cartiktech llc,4.1,software development engineer in test,"foster city, ca",6d,$67k - $106k (glassdoor est.)
abbott laboratories,3.9,software engineer,"austin, tx",19d,$144k - $200k (employer est.)
prove,3.4,senior software engineer,"chicago, il",4d,$129k - $224k (employer est.)
fanatics inc.,3.5,software engineer ii,"sylmar, ca",30d+,$169k (employer est.)
schweitzer engineering laboratories,4.2,"senior software engineer, orchestration team","chicago, il",6d,$45.66 - $54.99 per hour (employer est.)
themis insight,3.9,software engineer iii,"new york, ny",30d+,$130k - $270k (employer est.)
world vision usa,4.9,associate software engineer - c# emphasis,"pullman, wa",30d+,$140k - $180k (employer est.)
rippling,3.7,jr. software engineer - hybrid/remote,remote,2d,$69k - $98k (glassdoor est.)
hop labs,4.2,software development engineer iii,united states,16d,$59k - $86k (glassdoor est.)
"hawaiian airlines, inc.",3.2,staff software engineer - documents,united states,2d,$80k - $123k (glassdoor est.)
netapp,3.9,ml software engineer,remote,30d+,$105k - $152k (glassdoor est.)
quantum systems inc,4.1,"software developer engineer, it technical operations","honolulu, hi",10d,$135k - $175k (employer est.)
salesforce,3.9,software engineer,remote,10d,$154k - $279k (employer est.)
visa,3.7,software engineer lead,"moorpark, ca",12d,$86k - $145k (glassdoor est.)
honeywell,3.6,full-stack software engineer – lmts / pmts,"san francisco, ca",30d+,$104k - $348k (employer est.)
oliver wyman group,3.4,software engineer – senior consultant level - tink,"austin, tx",4d,$76k - $155k (employer est.)
nvidia,2.5,software engineer i,"richardson, tx",30d+,$83k - $114k (glassdoor est.)
morgan stanley,4.4,nera associate software engineer,"white plains, ny",30d+,$155k - $221k (employer est.)
amex,4.5,system software engineer – autonomous vehicles platform,"santa clara, ca",30d+,$100k - $200k (employer est.)
multi state lottery association,4.0,"associate, python / perl dev","alpharetta, ga",10d,$83k - $110k (glassdoor est.)
eog resources,3.4,"backend software engineer, digital banking-payments","phoenix, az",6d,$99k (employer est.)
baxter,3.7,senior software engineer,"johnston, ia",11d,$129k - $207k (employer est.)
afterpay,3.7,software engineer i,"houston, tx",30d+,$161k - $215k (glassdoor est.)
u.s. bank national association,4.0,senior backend software engineer (hybrid),"bellevue, wa",30d+,$93k - $132k (glassdoor est.)
geon technologies,3.8,"software engineer - pubsub, cash app","san francisco, ca",1d,$95k - $115k (employer est.)
intel,5.0,"software engineer 2 - mainframe (cobol, jcl, vsam)","brookfield, wi",12d,$310k - $465k (employer est.)
tdi technologies,4.1,software engineer,"annapolis junction, md",30d+,$117k - $160k (glassdoor est.)
daikin comfort technologies mfg lp,4.3,software engineer / simulation - virtual prototyping,"san jose, ca",21d,$213k - $293k (employer est.)
intone networks,4.4,c# software engineer,pennsylvania,6d,$87k - $124k (glassdoor est.)
intone networks,3.6,software engineer 3,"chatsworth, ca",4d,$163k - $294k (employer est.)
wise,3.6,software engineer in test,"westlake, tx",25d,$195k - $230k (employer est.)
"garmin international, inc.",3.1,jr cloud engineer,"phoenix, az",9d,$70k - $90k (employer est.)
nyla technology solutions,4.2,"senior software engineer ii, wise account","austin, tx",19d,$86k - $109k (employer est.)
wellington management,3.0,senior .net software engineer,"cary, nc",4d,$79k - $124k (glassdoor est.)
synergy ecp,3.5,software engineer,"annapolis junction, md",30d+,$122k - $147k (employer est.)
costco wholesale,3.1,senior software engineer,"boston, ma",30d+,$110k - $154k (employer est.)
"vizient, inc.",4.5,software engineer,"annapolis junction, md",30d+,$119k - $142k (employer est.)
leidos,3.7,software engineer - it sustainability,"seattle, wa",17d,$120k - $150k (employer est.)
noblis,3.7,senior software engineer,"irving, tx",30d+,$85k - $131k (glassdoor est.)
elevi associates,4.7,junior software engineer - panama shift!,"annapolis junction, md",30d+,$60k - $80k (employer est.)
ascending,4.0,software solutions engineer – multiple levels,"oklahoma city, ok",30d+,$112k - $177k (employer est.)
trellint,4.0,sr software engineer,"annapolis junction, md",4d,$90k - $104k (employer est.)
synergy ecp,4.1,cloud software engineer,"fairfax, va",30d+,$79k - $159k (employer est.)
lockheed martin,3.6,r&d software engineer ii,maryland,11d,$195k - $245k (employer est.)
"trusted space, inc.",4.4,software engineer 1,"columbia, md",30d+,$66k - $112k (glassdoor est.)
state street,4.2,software engineer,"highlands ranch, co",2d,$145k - $190k (employer est.)
"availity, llc.",4.0,software engineer,colorado,16d,$86k - $127k (glassdoor est.)
borgwarner,1.0,"software development engineer, officer, onsite","quincy, ma",3d,$120k - $140k (employer est.)
ford motor company,4.1,node.js/kotlin software engineer iv,"jacksonville, fl",24d,$61k - $89k (glassdoor est.)
forterra,3.9,software resident engineer,"auburn hills, mi",6d,$68k - $102k (glassdoor est.)
epsilon,3.1,software engineer,"dearborn, mi",5d,$79k - $125k (glassdoor est.)
bytedance,3.3,perception software engineer - ml ops,remote,30d+,$100k - $155k (glassdoor est.)
logistics management institute,3.7,senior front end software engineer,"chicago, il",10d,$94k - $122k (glassdoor est.)
"hottinger, bruel & kjaer",3.9,software engineer (data security-us) - 2025 start (bs/ms),"san jose, ca",6d,$60.00 - $72.00 per hour (employer est.)
sirius xm,3.6,cloud engineer,remote,3d,$105k - $125k (employer est.)
warner bros. discovery,3.8,custom software engineer,"pompano beach, fl",30d+,$103k - $147k (glassdoor est.)
peloton,3.3,"senior software engineer - python, celery, redis","oakland, ca",3d,$81k - $118k (glassdoor est.)
movius interactive corporation,3.4,"vp, software engineering",united states,6d,$122k - $172k (glassdoor est.)
accenture federal services,4.0,site reliability engineer,united states,6d,$108k - $216k (employer est.)
corteva,3.9,software engineer- backend,"fremont, ca",19d,$122k - $184k (employer est.)
intrafi network,3.3,software engineer,"elkridge, md",3d,$121k - $181k (employer est.)
pseg,3.9,software engineer ii,"johnston, ia",9d,$78k - $133k (employer est.)
ryzlink dba chuwa america,3.1,senior software engineer,"arlington, va",13d,$75k (employer est.)
trane technologies,3.6,software engineer,"bethpage, ny",10d,$86k - $139k (glassdoor est.)
discord,4.3,software programmer,"santa clara, ca",5d,$88k - $173k (employer est.)
tesla,4.2,software engineer - innovation,"saint paul, mn",10d,$182k - $244k (glassdoor est.)
microsoft,4.0,"software engineer, ads (quests)","san francisco, ca",18d,$124k - $155k (employer est.)
first american financial corporation,3.7,"staff software engineer, backend, factory software","fremont, ca",4d,$94k - $129k (glassdoor est.)
intrafi network,3.6,software engineer 2,"redmond, wa",2d,$72.84 - $80.93 per hour (employer est.)
collins aerospace,3.5,software engineer ii (hybrid or remote possible),"idaho falls, id",1d,$130k - $165k (employer est.)
